Id,LotArea,LotFrontage,OverallQual,YearBuilt,MasVnrType,SalePrice
1,8450,65.0,7,2003,BrkFace,208500
2,9600,80.0,6,1976,BrkFace,181500
3,11250,72.0,7,2001,BrkFace,223500
4,9550,70.0,7,1915,BrkFace,140000
5,14260,72.0,8,2000,Stone,250000
6,14115,84.0,5,1993,BrkFace,143000
7,10084,75.0,8,2004,BrkFace,307000
8,10382,72.0,7,1973,BrkFace,200000
9,6120,51.0,7,1931,BrkFace,129900
10,7420,60.0,5,1939,BrkFace,118000
11,11200,72.0,6,1965,BrkFace,129500
12,11924,85.0,7,2005,Stone,345000
13,12968,68.0,6,1962,BrkFace,144000
14,10652,72.0,7,2006,BrkFace,279500
15,10920,78.0,8,1998,Stone,157000
16,6120,50.0,6,1970,BrkFace,132000
17,11241,72.0,7,1961,BrkFace,149000
18,10791,72.0,9,2009,Stone,500000
19,13695,90.0,5,2004,BrkFace,187000
20,7560,72.0,6,1958,BrkFace,129000
