PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Age_Group
1,0,3,male,22,7.25,S,Adult
2,1,1,female,38,71.2833,C,Adult
3,1,3,female,26,7.925,S,Adult
4,1,1,female,35,53.1,S,Adult
5,0,3,male,35,8.05,S,Adult
6,0,3,male,30,8.4583,Q,Adult
7,0,1,male,54,51.8625,S,Adult
8,0,3,male,2,21.075,S,Child
9,1,3,female,27,11.1333,S,Adult
10,1,2,female,14,30.0708,C,Child
11,1,3,female,4,16.7,S,Child
12,1,1,female,58,26.55,S,Adult
13,0,3,male,20,8.05,S,Adult
14,0,3,male,39,31.275,S,Adult
15,1,3,female,14,7.8542,S,Child
16,1,2,female,55,16,S,Adult
17,0,3,male,2,29.125,Q,Child
18,1,2,male,30,13,S,Adult
19,0,3,female,31,18,S,Adult
20,1,3,female,30,7.225,C,Adult
