YearBuilt,avg_price,previous_year_price,price_change
1915,140000.000000,NULL,NULL
1931,129900.000000,140000.000000,-10100.000000
1939,118000.000000,129900.000000,-11900.000000
1962,185000.000000,118000.000000,67000.000000
1965,144000.000000,185000.000000,-41000.000000
1973,200000.000000,144000.000000,56000.000000
1976,181500.000000,200000.000000,-18500.000000
1993,143000.000000,181500.000000,-38500.000000
2000,250000.000000,143000.000000,107000.000000
2001,223500.000000,250000.000000,-26500.000000
2003,208500.000000,223500.000000,-15000.000000
2004,307000.000000,208500.000000,98500.000000
2005,345000.000000,307000.000000,38000.000000
2006,230000.000000,345000.000000,-115000.000000
2007,450000.000000,230000.000000,220000.000000
